geographyid,region,date,monthsofsupply,mediansaleprice
45180,"Talladega, AL",2015-09-01,8.3,135000
11500,"Anniston, AL",2015-10-01,9.3,81000
22840,"Fort Payne, AL",2015-11-01,5.8,91000
45180,"Talladega, AL",2016-07-01,7.6,140000
10700,"Albertville, AL",2017-01-01,6.3,111000
19460,"Decatur, AL",2017-01-01,5.8,126000
42460,"Scottsboro, AL",2017-01-01,4.8,120000
23460,"Gadsden, AL",2017-02-01,6.3,76000
23460,"Gadsden, AL",2017-03-01,4.2,86000
19460,"Decatur, AL",2017-04-01,4.2,119000
23460,"Gadsden, AL",2017-04-01,4.1,108000
19460,"Decatur, AL",2017-09-01,4.0,135000
23460,"Gadsden, AL",2018-11-01,5.6,129000
11500,"Anniston, AL",2018-12-01,5.8,145000
13820,"Birmingham, AL",2019-05-01,3.0,230000
23460,"Gadsden, AL",2019-06-01,4.9,128000
23460,"Gadsden, AL",2019-07-01,4.4,140000
10700,"Albertville, AL",2019-12-01,4.3,154000
10700,"Albertville, AL",2020-01-01,5.0,179000
11260,"Anchorage, AK",2013-02-01,8.0,253000
21820,"Fairbanks, AK",2014-01-01,5.8,195000
21820,"Fairbanks, AK",2014-08-01,5.3,209000
11260,"Anchorage, AK",2015-09-01,4.8,282000
21820,"Fairbanks, AK",2015-09-01,4.9,239000
21820,"Fairbanks, AK",2016-02-01,5.8,240000
21820,"Fairbanks, AK",2016-04-01,4.6,215000
11260,"Anchorage, AK",2017-04-01,5.8,285000
11260,"Anchorage, AK",2017-12-01,5.1,278000
21820,"Fairbanks, AK",2018-04-01,6.5,230000
11260,"Anchorage, AK",2019-07-01,4.8,296000
19460,"Decatur, AL",2012-07-01,4.0,135000
42460,"Scottsboro, AL",2012-08-01,3.0,88000
11500,"Anniston, AL",2012-09-01,6.2,112000
11500,"Anniston, AL",2013-01-01,7.6,87000
42460,"Scottsboro, AL",2013-09-01,4.7,95000
11500,"Anniston, AL",2013-12-01,5.6,100000
19460,"Decatur, AL",2014-02-01,5.7,109000
42460,"Scottsboro, AL",2015-02-01,4.3,136000
10700,"Albertville, AL",2015-09-01,3.5,130000
11500,"Anniston, AL",2016-07-01,6.9,115000
23460,"Gadsden, AL",2016-08-01,4.0,127000
45180,"Talladega, AL",2016-08-01,9.3,140000
