zillow_id,cbsa_id,cbsa_name
394445,16220,Casper
394462,16940,Cheyenne
394578,21740,Evanston
394631,23940,Gillette
394713,27220,Jackson
394771,29660,Laramie
395026,40180,Riverton
395032,40540,Rock Springs
395093,43260,Sheridan
102001,99999,United States
